País;Mes;Any;Vehicles Comercials Mes;Vehicles Passatgers Mes;Venta Mensual vehicles;Vehicles Mes/1000 hab.;Vehicles Comercials Any;Vehicles Passatgers Any;Venta Anual vehicles;Vehicles Any/1000 hab.;Quantitat.Notícies.Recents
España;Junio;2018;23.374;142.397;165.741;3,55;239.840;1.302.109;1.539.288;32,94;0
España;Mayo;2018;22.974;135.525;158.494;3,40;237.906;1.291.509;1.526.784;32,72;0
España;Abril;2018;21.077;116.433;134.895;2,89;236.129;1.282.395;1.515.898;32,49;0
España;Marzo;2018;21.467;128.180;149.639;3,21;232.329;1.267.337;1.499.654;32,14;0
España;Febrero;2018;19.517;110.475;129.990;2,79;232.734;1.264.757;1.497.487;32,09;0
España;Enero;2018;18.666;101.661;120.327;2,58;229.765;1.252.078;1.481.841;31,76;0
España;Diciembre;2017;18.363;102.944;121.306;2,60;227.301;1.234.932;1.462.230;31,34;0
España;Noviembre;2017;21.465;104.170;125.635;2,70;227.797;1.228.876;1.456.668;31,30;0
España;Octubre;2017;20.586;94.676;115.262;2,48;224.950;1.217.359;1.442.304;31,00;0
España;Septiembre;2017;17.570;83.291;100.861;2,17;221.387;1.205.931;1.427.313;30,67;0
España;Agosto;2017;14.498;72.410;86.908;1,87;220.109;1.202.231;1.422.335;30,57;0
España;Julio;2017;20.283;109.947;130.230;2,80;217.643;1.193.910;1.411.458;30,33;0
España;Junio;2017;21.440;131.797;153.237;3,29;214.592;1.191.269;1.405.762;30,21;0
España;Mayo;2017;21.197;126.411;147.608;3,17;212.852;1.183.262;1.396.015;30,00;0
España;Abril;2017;17.277;101.375;118.651;2,55;209.420;1.170.522;1.379.843;29,66;0
España;Marzo;2017;21.872;125.600;147.472;3,17;209.602;1.169.426;1.378.930;29,64;0
España;Febrero;2017;16.548;97.796;114.344;2,46;205.328;1.155.337;1.360.568;29,24;0
España;Enero;2017;16.202;84.515;100.716;2,16;203.455;1.155.190;1.358.548;29,20;0
España;Diciembre;2016;18.859;96.888;115.744;2,49;200.337;1.147.009;1.347.333;28,96;0
España;Noviembre;2016;18.618;92.653;111.271;2,40;198.124;1.138.730;1.336.847;28,78;0
España;Octubre;2016;17.023;83.248;100.271;2,16;195.806;1.127.727;1.323.526;28,49;0
España;Septiembre;2016;16.292;79.591;95.883;2,06;196.836;1.124.534;1.321.362;28,45;0
España;Agosto;2016;12.032;64.089;76.031;1,64;194.818;1.114.795;1.309.568;28,19;0
España;Julio;2016;17.232;107.306;124.534;2,68;192.856;1.106.624;1.299.526;27,98;0
España;Junio;2016;19.700;123.790;143.490;3,09;192.299;1.102.240;1.294.589;27,87;0
España;Mayo;2016;17.765;113.671;131.436;2,83;189.453;1.089.783;1.279.629;27,55;0
España;Abril;2016;17.459;100.279;117.738;2,54;186.838;1.070.143;1.257.373;27,08;0
España;Marzo;2016;17.598;111.511;129.110;2,78;183.984;1.052.580;1.236.955;26,64;0
España;Febrero;2016;14.675;97.649;112.324;2,42;184.085;1.053.373;1.237.842;26,65;0
España;Enero;2016;13.084;76.334;89.501;1,93;181.888;1.042.443;1.224.713;26,37;0
España;Diciembre;2015;16.646;88.609;105.258;2,27;179.521;1.034.228;1.214.162;26,14;0
España;Noviembre;2015;16.300;81.650;97.950;2,11;176.409;1.019.059;1.195.878;25,77;0
